order_id,predicted_cycle_time_min,wip_level,demand_urgency,quality_status,pull_decision
O100077,28.25,11,Medium,Rework,Partial Pull
O100078,52.35,29,Low,Pass,No Pull
O100079,53.65,24,Low,Pass,No Pull
O100080,47.68,18,Medium,Pass,Partial Pull
O100081,40.62,22,Medium,Pass,Partial Pull
O100082,59.31,26,Low,Pass,No Pull
O100083,32.8,19,Medium,Pass,Partial Pull
O100084,30.69,9,Medium,Pass,Partial Pull
O100085,22.72,2,Medium,Pass,Partial Pull
O100086,17.8,3,Medium,Pass,Partial Pull
O100087,22.05,7,High,Rework,Full Pull
O100088,43.29,23,Medium,Pass,Partial Pull
O100089,21.38,2,High,Pass,Full Pull
O100090,37.9,3,High,Rework,Full Pull
O100091,67.94,30,Low,Pass,No Pull
O100092,39.66,12,High,Pass,Partial Pull
O100093,12.99,3,High,Rework,Full Pull
O100094,45.19,27,Low,Pass,No Pull
O100095,61.86,29,Low,Pass,No Pull
O100096,24.44,15,Medium,Pass,Partial Pull
O100097,30.6,3,High,Fail,No Pull
O100098,36.41,19,Low,Pass,No Pull
O100099,88.7,26,Medium,Fail,No Pull
O100100,56.86,29,Medium,Pass,Partial Pull
O100101,33.32,17,Medium,Pass,Partial Pull
O100102,34.52,29,Low,Rework,No Pull
O100103,73.35,25,Medium,Pass,Partial Pull
O100104,29.51,5,High,Pass,Full Pull
O100105,43.43,19,Low,Pass,No Pull
O100106,28.17,20,Low,Pass,No Pull
O100107,45.53,23,Medium,Pass,Partial Pull
O100108,36.87,16,Medium,Pass,Partial Pull
O100109,33.5,22,Medium,Pass,Partial Pull
O100110,43.91,18,Medium,Pass,Partial Pull
O100111,36.76,8,Medium,Pass,Partial Pull
O100112,20.7,15,Medium,Pass,Partial Pull
O100113,49.38,28,Medium,Pass,Partial Pull
O100114,28.24,26,Medium,Fail,No Pull
O100115,65.0,19,Low,Pass,No Pull
O100116,31.09,9,Medium,Pass,Partial Pull
O100117,20.48,6,High,Pass,Full Pull
O100118,23.49,8,Medium,Pass,Partial Pull
O100119,26.6,9,Medium,Pass,Partial Pull
O100120,74.71,29,Low,Pass,No Pull
O100121,50.74,16,Medium,Pass,Partial Pull
O100122,18.3,12,Medium,Pass,Partial Pull
O100123,51.18,27,Low,Pass,No Pull
O100124,32.46,11,Medium,Pass,Partial Pull
O100125,46.34,24,Medium,Pass,Partial Pull
O100126,35.73,19,Low,Pass,No Pull
O100127,28.89,9,Medium,Pass,Partial Pull
O100128,83.6,29,Medium,Pass,Partial Pull
O100129,56.99,21,Low,Pass,No Pull
O100130,34.75,30,Low,Pass,No Pull
O100131,35.19,0,High,Pass,Full Pull
O100132,31.66,8,Medium,Rework,Partial Pull
O100133,29.72,10,Medium,Pass,Partial Pull
O100134,42.33,20,Medium,Rework,Partial Pull
O100135,27.14,26,Low,Pass,No Pull
O100136,41.39,3,Medium,Pass,Partial Pull
O100137,34.5,4,High,Pass,Full Pull
O100138,47.56,20,Medium,Pass,Partial Pull
O100139,27.15,10,Medium,Pass,Partial Pull
O100140,34.94,21,Medium,Pass,Partial Pull
O100141,22.76,0,High,Pass,Full Pull
O100142,52.26,16,Medium,Pass,Partial Pull
O100143,20.92,0,High,Pass,Full Pull
O100144,43.15,29,Low,Pass,No Pull
O100145,16.58,4,High,Pass,Full Pull
O100146,23.13,5,Medium,Pass,Partial Pull
O100147,21.33,3,Medium,Pass,Partial Pull
O100148,29.76,6,High,Pass,Full Pull
O100149,42.35,15,Medium,Pass,Partial Pull
O100150,41.45,19,Medium,Rework,Partial Pull
O100151,71.88,27,Low,Pass,No Pull
O100152,43.07,27,Low,Pass,No Pull
O100153,14.21,2,High,Pass,Full Pull
O100154,36.71,13,Medium,Pass,Partial Pull
O100155,38.86,26,Low,Pass,No Pull
O100156,23.67,5,High,Pass,Full Pull
O100157,54.34,20,Medium,Pass,Partial Pull
O100158,28.69,13,Medium,Pass,Partial Pull
O100159,28.84,5,Medium,Pass,Partial Pull
O100160,25.08,1,Medium,Pass,Partial Pull
O100161,33.46,8,High,Pass,Full Pull
O100162,21.25,0,High,Rework,Full Pull
O100163,16.92,6,High,Pass,Full Pull
O100164,33.64,17,Medium,Pass,Partial Pull
O100165,56.96,24,Medium,Pass,Partial Pull
O100166,47.17,15,Medium,Fail,No Pull
O100167,37.59,22,Low,Pass,No Pull
O100168,23.58,2,High,Pass,Full Pull
O100169,38.34,9,Medium,Pass,Partial Pull
O100170,49.93,20,Medium,Pass,Partial Pull
O100171,31.24,1,High,Rework,Full Pull
O100172,26.57,18,Medium,Pass,Partial Pull
O100173,27.95,5,High,Pass,Full Pull
O100174,33.92,13,Medium,Pass,Partial Pull
O100175,39.57,19,Medium,Pass,Partial Pull
O100176,45.74,30,Low,Rework,No Pull
O100177,12.09,2,High,Pass,Full Pull
O100178,40.9,17,High,Pass,Partial Pull
O100179,35.87,16,Medium,Pass,Partial Pull
O100180,35.97,1,High,Pass,Full Pull
O100181,36.85,19,Medium,Pass,Partial Pull
O100182,19.01,2,High,Pass,Full Pull
O100183,28.24,21,Low,Pass,No Pull
O100184,33.03,6,Medium,Pass,Partial Pull
O100185,26.95,3,High,Pass,Full Pull
O100186,7.43,2,High,Pass,Full Pull
O100187,27.41,14,Medium,Pass,Partial Pull
O100188,35.44,7,High,Pass,Full Pull
O100189,37.2,14,Medium,Pass,Partial Pull
O100190,68.87,27,Medium,Pass,Partial Pull
O100191,45.76,25,Medium,Pass,Partial Pull
O100192,48.78,23,Medium,Pass,Partial Pull
O100193,29.53,14,Medium,Pass,Partial Pull
O100194,12.1,3,High,Pass,Full Pull
O100195,33.86,12,Medium,Pass,Partial Pull
O100196,28.07,0,Medium,Pass,Partial Pull
O100197,35.71,3,High,Rework,Full Pull
O100198,38.34,9,High,Pass,Partial Pull
O100199,53.57,21,Medium,Pass,Partial Pull
O100200,36.01,24,Medium,Pass,Partial Pull
O100201,47.32,19,Medium,Fail,No Pull
O100202,24.42,7,Medium,Pass,Partial Pull
O100203,58.53,22,Medium,Pass,Partial Pull
O100204,43.31,30,Medium,Pass,Partial Pull
O100205,32.5,20,Medium,Pass,Partial Pull
O100206,57.01,23,Medium,Pass,Partial Pull
O100207,55.69,27,Low,Pass,No Pull
O100208,51.48,22,Low,Pass,No Pull
O100209,37.5,27,Low,Pass,No Pull
O100210,34.67,9,Medium,Pass,Partial Pull
O100211,36.65,9,High,Pass,Partial Pull
O100212,27.12,5,Medium,Pass,Partial Pull
O100213,41.66,5,High,Pass,Full Pull
O100214,42.59,17,Medium,Pass,Partial Pull
O100215,58.17,28,Low,Rework,No Pull
O100216,29.21,6,High,Pass,Full Pull
O100217,43.33,22,Low,Pass,No Pull
O100218,26.33,2,High,Pass,Full Pull
O100219,46.1,30,Medium,Pass,Partial Pull
O100220,34.84,16,Medium,Pass,Partial Pull
O100221,58.09,15,High,Pass,Partial Pull
O100222,35.79,11,Medium,Pass,Partial Pull
O100223,54.6,29,Low,Pass,No Pull
O100224,41.72,13,Medium,Pass,Partial Pull
O100225,41.95,3,Medium,Fail,No Pull
O100226,43.63,17,Medium,Rework,Partial Pull
O100227,50.96,18,Medium,Pass,Partial Pull
O100228,47.63,23,Low,Pass,No Pull
O100229,23.57,15,Medium,Pass,Partial Pull
O100230,47.28,8,Medium,Pass,Partial Pull
O100231,23.12,0,High,Pass,Full Pull
O100232,82.86,30,Medium,Pass,Partial Pull
O100233,17.75,5,Medium,Pass,Partial Pull
O100234,72.3,10,Medium,Pass,Partial Pull
O100235,25.11,4,Medium,Pass,Partial Pull
O100236,25.29,7,High,Pass,Full Pull
O100237,20.19,1,High,Pass,Full Pull
O100238,44.48,10,Medium,Rework,Partial Pull
O100239,36.75,29,Low,Pass,No Pull
O100240,24.42,6,Medium,Pass,Partial Pull
O100241,50.35,29,Medium,Pass,Partial Pull
O100242,51.81,19,Medium,Pass,Partial Pull
O100243,83.29,27,Low,Rework,No Pull
O100244,44.34,19,Medium,Pass,Partial Pull
O100245,66.17,30,Low,Pass,No Pull
O100246,50.64,17,Medium,Pass,Partial Pull
O100247,44.17,25,Medium,Pass,Partial Pull
O100248,22.7,1,Medium,Pass,Partial Pull
O100249,51.95,28,Low,Pass,No Pull
O100250,30.96,0,High,Pass,Full Pull
O100251,29.83,6,High,Rework,Full Pull
O100252,54.8,22,Medium,Pass,Partial Pull
O100253,20.97,7,Medium,Pass,Partial Pull
O100254,21.65,1,High,Fail,No Pull
O100255,65.34,26,Low,Pass,No Pull
O100256,48.76,15,Medium,Pass,Partial Pull
O100257,39.99,14,Medium,Pass,Partial Pull
O100258,32.45,9,High,Pass,Partial Pull
O100259,61.94,22,Medium,Pass,Partial Pull
O100260,44.06,9,Medium,Pass,Partial Pull
O100261,39.31,17,Medium,Pass,Partial Pull
O100262,19.97,4,High,Pass,Full Pull
O100263,40.6,9,Medium,Pass,Partial Pull
O100264,27.97,0,Medium,Pass,Partial Pull
O100265,20.22,8,High,Pass,Full Pull
O100266,35.36,11,Medium,Pass,Partial Pull
O100267,60.6,23,Medium,Pass,Partial Pull
O100268,50.56,25,Medium,Pass,Partial Pull
O100269,46.0,16,Medium,Pass,Partial Pull
O100270,31.51,28,Low,Pass,No Pull
O100271,37.11,11,Medium,Rework,Partial Pull
O100272,20.54,15,Low,Pass,Partial Pull
O100273,56.43,19,Medium,Pass,Partial Pull
O100274,33.26,5,Medium,Pass,Partial Pull
O100275,42.47,13,Medium,Pass,Partial Pull
O100276,64.47,27,Low,Pass,No Pull
O100277,43.11,14,Medium,Pass,Partial Pull
O100278,65.03,28,Medium,Pass,Partial Pull
O100279,81.38,21,Medium,Fail,No Pull
O100280,29.51,5,Medium,Pass,Partial Pull
O100281,38.51,14,Medium,Pass,Partial Pull
O100282,25.55,11,Medium,Pass,Partial Pull
O100283,49.48,29,Low,Pass,No Pull
O100284,35.79,10,Medium,Fail,No Pull
O100285,37.3,15,Medium,Pass,Partial Pull
O100286,38.27,21,Medium,Pass,Partial Pull
O100287,44.87,29,Low,Pass,No Pull
O100288,35.68,16,Medium,Pass,Partial Pull
O100289,50.36,26,Medium,Pass,Partial Pull
O100290,17.89,3,Medium,Pass,Partial Pull
O100291,43.86,27,Low,Pass,No Pull
O100292,37.83,6,High,Pass,Full Pull
O100293,42.35,23,Medium,Pass,Partial Pull
O100294,34.42,16,Medium,Pass,Partial Pull
O100295,43.37,18,Medium,Pass,Partial Pull
O100296,24.58,2,High,Pass,Full Pull
O100297,65.56,16,Medium,Pass,Partial Pull
O100298,27.31,2,High,Pass,Full Pull
O100299,66.16,17,Medium,Pass,Partial Pull
O100300,54.56,12,Medium,Pass,Partial Pull
O100301,18.68,6,Medium,Pass,Partial Pull
O100302,36.23,15,Medium,Pass,Partial Pull
O100303,25.47,6,High,Pass,Full Pull
O100304,34.44,2,High,Pass,Full Pull
O100305,17.46,1,Medium,Pass,Partial Pull
O100306,19.64,10,Medium,Pass,Partial Pull
O100307,48.68,23,Low,Pass,No Pull
O100308,47.03,17,High,Pass,Partial Pull
O100309,26.22,3,High,Pass,Full Pull
O100310,34.76,13,High,Pass,Partial Pull
O100311,44.19,18,Medium,Pass,Partial Pull
O100312,14.84,7,Medium,Pass,Partial Pull
O100313,26.54,4,High,Pass,Full Pull
O100314,37.59,7,Medium,Fail,No Pull
O100315,12.86,2,High,Pass,Full Pull
O100316,21.84,7,High,Pass,Full Pull
O100317,21.53,16,Medium,Pass,Partial Pull
O100318,74.72,24,Medium,Pass,Partial Pull
O100319,70.87,27,Low,Pass,No Pull
O100320,49.39,20,Medium,Fail,No Pull
O100321,46.21,11,Medium,Pass,Partial Pull
O100322,56.87,28,Low,Pass,No Pull
O100323,58.99,28,Medium,Pass,Partial Pull
O100324,26.81,11,High,Pass,Partial Pull
O100325,37.48,0,High,Pass,Full Pull
O100326,34.89,13,Medium,Pass,Partial Pull
O100327,29.31,14,Medium,Pass,Partial Pull
O100328,25.82,20,Medium,Pass,Partial Pull
O100329,25.0,4,High,Pass,Full Pull
O100330,40.87,16,Medium,Pass,Partial Pull
O100331,32.85,9,Medium,Pass,Partial Pull
O100332,43.65,15,Medium,Pass,Partial Pull
O100333,31.19,0,High,Pass,Full Pull
O100334,30.8,16,Medium,Pass,Partial Pull
O100335,31.38,1,High,Rework,Full Pull
O100336,41.16,26,Medium,Pass,Partial Pull
O100337,55.7,22,Low,Pass,No Pull
O100338,40.1,28,Low,Pass,No Pull
O100339,59.98,20,Medium,Pass,Partial Pull
O100340,65.95,30,Low,Pass,No Pull
O100341,34.69,6,Medium,Pass,Partial Pull
O100342,27.21,0,High,Pass,Full Pull
O100343,54.75,27,Medium,Pass,Partial Pull
O100344,55.83,20,Medium,Pass,Partial Pull
O100345,49.08,21,Medium,Pass,Partial Pull
O100346,53.58,8,High,Pass,Partial Pull
O100347,35.32,10,Medium,Rework,Partial Pull
O100348,30.98,21,Medium,Pass,Partial Pull
O100349,24.29,12,Medium,Fail,No Pull
O100350,26.65,2,Medium,Pass,Partial Pull
O100351,23.23,9,Medium,Pass,Partial Pull
O100352,30.31,11,Medium,Pass,Partial Pull
O100353,40.89,25,Low,Fail,No Pull
O100354,37.92,10,Medium,Pass,Partial Pull
O100355,28.92,15,Medium,Pass,Partial Pull
O100356,46.52,18,Medium,Pass,Partial Pull
O100357,36.38,4,High,Pass,Full Pull
O100358,44.71,18,Low,Rework,No Pull
O100359,27.21,6,Medium,Pass,Partial Pull
O100360,60.73,27,Medium,Pass,Partial Pull
O100361,27.1,9,Medium,Pass,Partial Pull
O100362,30.52,9,Medium,Pass,Partial Pull
O100363,34.14,12,Medium,Pass,Partial Pull
O100364,26.71,11,Medium,Pass,Partial Pull
O100365,30.36,18,Medium,Pass,Partial Pull
O100366,60.77,22,Medium,Rework,Partial Pull
O100367,31.43,29,Medium,Pass,Partial Pull
O100368,43.47,27,Low,Pass,No Pull
O100369,57.16,8,Medium,Pass,Partial Pull
O100370,38.93,18,Medium,Pass,Partial Pull
O100371,30.09,10,High,Pass,Partial Pull
O100372,42.62,24,Medium,Pass,Partial Pull
O100373,16.4,0,High,Pass,Full Pull
O100374,58.01,30,Low,Pass,No Pull
O100375,39.59,11,Medium,Pass,Partial Pull
O100376,42.35,23,Low,Pass,No Pull
O100377,34.27,20,Low,Pass,No Pull
O100378,20.36,11,Medium,Pass,Partial Pull
O100379,48.95,29,Low,Pass,No Pull
O100380,30.73,8,Medium,Pass,Partial Pull
O100381,55.5,22,Medium,Rework,Partial Pull
O100382,52.6,28,Low,Pass,No Pull
O100383,15.86,3,High,Pass,Full Pull
O100384,30.99,28,Medium,Pass,Partial Pull
O100385,50.43,27,Low,Pass,No Pull
O100386,33.27,11,High,Fail,No Pull
O100387,72.91,25,Medium,Pass,Partial Pull
O100388,12.3,0,High,Pass,Full Pull
O100389,31.53,5,Medium,Pass,Partial Pull
O100390,67.6,23,Low,Pass,No Pull
O100391,48.9,28,Low,Pass,No Pull
O100392,29.37,3,High,Pass,Full Pull
O100393,52.96,22,Medium,Pass,Partial Pull
O100394,23.06,3,High,Pass,Full Pull
O100395,49.68,24,Low,Pass,No Pull
O100396,58.37,27,Low,Pass,No Pull
O100397,30.88,14,Medium,Pass,Partial Pull
O100398,24.62,3,Medium,Pass,Partial Pull
O100399,36.96,6,High,Pass,Full Pull
O100400,47.98,15,Medium,Pass,Partial Pull
O100401,44.52,24,Medium,Pass,Partial Pull
O100402,46.31,16,Medium,Pass,Partial Pull
O100403,37.65,14,Medium,Pass,Partial Pull
O100404,59.35,18,Medium,Pass,Partial Pull
O100405,62.71,29,Low,Pass,No Pull
O100406,44.01,24,Medium,Rework,Partial Pull
O100407,42.33,4,Medium,Pass,Partial Pull
O100408,20.85,6,High,Pass,Full Pull
O100409,41.15,11,Medium,Pass,Partial Pull
O100410,21.87,8,Medium,Pass,Partial Pull
O100411,46.2,22,Medium,Pass,Partial Pull
O100412,59.82,30,Medium,Pass,Partial Pull
O100413,44.61,17,Medium,Pass,Partial Pull
O100414,38.61,27,Low,Pass,No Pull
O100415,47.6,13,Medium,Pass,Partial Pull
O100416,41.7,21,Medium,Pass,Partial Pull
O100417,50.31,21,Medium,Fail,No Pull
O100418,26.67,9,High,Pass,Partial Pull
O100419,48.82,22,Medium,Pass,Partial Pull
O100420,37.42,16,Medium,Pass,Partial Pull
O100421,19.74,17,Medium,Pass,Partial Pull
O100422,19.36,7,Medium,Pass,Partial Pull
O100423,35.4,9,High,Pass,Partial Pull
O100424,60.46,26,Medium,Pass,Partial Pull
O100425,28.3,19,Low,Pass,No Pull
O100426,30.62,4,Medium,Fail,No Pull
O100427,38.91,16,Medium,Fail,No Pull
O100428,43.66,19,Low,Rework,No Pull
O100429,40.88,24,Medium,Pass,Partial Pull
O100430,68.2,26,Low,Pass,No Pull
O100431,29.48,20,Medium,Pass,Partial Pull
O100432,13.29,0,High,Pass,Full Pull
O100433,35.63,15,Medium,Pass,Partial Pull
O100434,14.54,6,Medium,Pass,Partial Pull
O100435,26.51,0,High,Pass,Full Pull
O100436,55.1,28,Low,Pass,No Pull
O100437,26.79,5,High,Pass,Full Pull
O100438,19.25,7,Medium,Pass,Partial Pull
O100439,24.82,10,Medium,Rework,Partial Pull
O100440,33.86,14,Medium,Fail,No Pull
O100441,35.44,18,Low,Pass,No Pull
O100442,49.52,9,Medium,Fail,No Pull
O100443,61.42,24,Medium,Pass,Partial Pull
O100444,26.92,4,High,Pass,Full Pull
O100445,52.47,29,Low,Rework,No Pull
O100446,45.22,26,Medium,Pass,Partial Pull
O100447,37.26,18,Medium,Pass,Partial Pull
O100448,23.23,1,High,Pass,Full Pull
O100449,51.55,22,Medium,Pass,Partial Pull
O100450,44.24,21,Medium,Rework,Partial Pull
O100451,70.8,19,Low,Pass,No Pull
O100452,57.68,8,Medium,Pass,Partial Pull
O100453,31.5,13,Medium,Pass,Partial Pull
O100454,48.0,12,Medium,Pass,Partial Pull
O100455,39.58,18,High,Pass,Partial Pull
O100456,38.37,10,Medium,Pass,Partial Pull
O100457,42.62,12,Medium,Pass,Partial Pull
O100458,60.93,28,Medium,Pass,Partial Pull
O100459,24.29,14,Medium,Pass,Partial Pull
O100460,53.63,18,Medium,Pass,Partial Pull
O100461,55.42,28,Low,Fail,No Pull
O100462,70.99,29,Low,Pass,No Pull
O100463,26.57,17,Medium,Pass,Partial Pull
O100464,27.24,8,Medium,Pass,Partial Pull
O100465,31.02,3,High,Fail,No Pull
O100466,63.51,26,Medium,Fail,No Pull
O100467,39.51,16,Medium,Pass,Partial Pull
O100468,38.56,17,Medium,Pass,Partial Pull
O100469,40.54,29,Low,Pass,No Pull
O100470,36.84,11,Medium,Pass,Partial Pull
O100471,30.32,3,High,Pass,Full Pull
O100472,41.99,20,Medium,Pass,Partial Pull
O100473,67.37,30,Medium,Pass,Partial Pull
O100474,24.58,5,High,Pass,Full Pull
O100475,35.99,30,Medium,Pass,Partial Pull
O100476,46.07,16,Medium,Pass,Partial Pull
O100477,38.7,17,Low,Rework,Partial Pull
O100478,51.87,29,Low,Pass,No Pull
O100479,41.47,10,High,Pass,Partial Pull
O100480,36.85,23,Low,Pass,No Pull
O100481,34.42,0,Medium,Pass,Partial Pull
O100482,41.54,20,Low,Pass,No Pull
O100483,20.24,0,High,Pass,Full Pull
O100484,17.07,0,High,Pass,Full Pull
O100485,15.09,12,Medium,Pass,Partial Pull
O100486,46.03,11,Medium,Pass,Partial Pull
O100487,28.57,24,Medium,Pass,Partial Pull
O100488,51.75,27,Low,Fail,No Pull
O100489,57.38,29,Low,Pass,No Pull
O100490,62.78,19,Medium,Pass,Partial Pull
O100491,43.12,4,High,Pass,Full Pull
O100492,57.22,20,Medium,Pass,Partial Pull
O100493,33.38,15,Medium,Pass,Partial Pull
O100494,40.68,16,High,Pass,Partial Pull
O100495,41.13,15,Medium,Pass,Partial Pull
O100496,49.19,27,Low,Pass,No Pull
O100497,20.87,11,Medium,Pass,Partial Pull
O100498,66.57,29,Medium,Pass,Partial Pull
O100499,71.74,16,Medium,Pass,Partial Pull
O100500,34.19,21,Low,Pass,No Pull
O100501,71.04,28,Medium,Pass,Partial Pull
O100502,45.22,25,Low,Pass,No Pull
O100503,28.87,13,Medium,Pass,Partial Pull
O100504,31.46,6,Medium,Rework,Partial Pull
O100505,31.86,4,Medium,Pass,Partial Pull
O100506,39.49,11,Medium,Pass,Partial Pull
O100507,40.32,20,Medium,Pass,Partial Pull
O100508,34.8,24,Medium,Pass,Partial Pull
O100509,13.86,0,High,Pass,Full Pull
O100510,24.93,14,Medium,Pass,Partial Pull
O100511,55.27,29,Medium,Rework,Partial Pull
O100512,54.92,25,Medium,Pass,Partial Pull
O100513,33.59,29,Medium,Rework,Partial Pull
O100514,55.6,29,Low,Pass,No Pull
O100515,15.3,2,Medium,Pass,Partial Pull
O100516,30.39,21,Medium,Pass,Partial Pull
O100517,36.72,17,High,Pass,Partial Pull
O100518,15.26,14,Medium,Pass,Partial Pull
O100519,56.73,24,Medium,Pass,Partial Pull
O100520,53.58,28,Low,Pass,No Pull
O100521,23.6,14,Medium,Pass,Partial Pull
O100522,45.45,20,Medium,Pass,Partial Pull
O100523,25.59,14,High,Pass,Partial Pull
O100524,28.49,19,Medium,Pass,Partial Pull
O100525,53.1,30,Low,Pass,No Pull
O100526,48.53,25,Medium,Pass,Partial Pull
O100527,41.67,7,Medium,Pass,Partial Pull
O100528,56.96,26,Medium,Rework,Partial Pull
O100529,33.03,16,Medium,Pass,Partial Pull
O100530,54.88,18,Medium,Fail,No Pull
O100531,26.22,3,High,Pass,Full Pull
O100532,26.96,13,Medium,Pass,Partial Pull
O100533,51.96,9,High,Pass,Partial Pull
O100534,23.44,2,Medium,Pass,Partial Pull
O100535,44.28,26,Medium,Pass,Partial Pull
O100536,39.24,4,Medium,Rework,Partial Pull
O100537,41.65,22,Low,Pass,No Pull
O100538,44.92,23,Low,Pass,No Pull
O100539,62.6,18,Medium,Pass,Partial Pull
O100540,55.17,26,Medium,Pass,Partial Pull
O100541,25.72,3,High,Rework,Full Pull
O100542,30.0,0,High,Rework,Full Pull
O100543,51.37,26,Low,Rework,No Pull
O100544,16.87,5,High,Pass,Full Pull
O100545,45.95,9,High,Rework,Partial Pull
O100546,44.3,21,Medium,Pass,Partial Pull
O100547,29.29,16,Medium,Pass,Partial Pull
O100548,25.25,6,High,Pass,Full Pull
O100549,22.45,7,High,Pass,Full Pull
O100550,29.47,25,Medium,Pass,Partial Pull
O100551,38.45,16,Medium,Pass,Partial Pull
O100552,61.06,28,Low,Pass,No Pull
O100553,65.77,17,Medium,Pass,Partial Pull
O100554,70.33,20,Low,Rework,No Pull
O100555,45.64,10,Medium,Fail,No Pull
O100556,21.52,0,High,Pass,Full Pull
O100557,51.82,15,Medium,Pass,Partial Pull
O100558,44.16,22,Medium,Pass,Partial Pull
O100559,40.23,12,Medium,Pass,Partial Pull
O100560,27.0,26,Medium,Pass,Partial Pull
O100561,47.37,21,Medium,Rework,Partial Pull
O100562,47.68,15,Medium,Pass,Partial Pull
O100563,54.85,16,Medium,Pass,Partial Pull
O100564,23.03,7,Medium,Rework,Partial Pull
O100565,46.58,27,Low,Pass,No Pull
O100566,32.06,1,High,Pass,Full Pull
O100567,12.18,1,High,Fail,No Pull
O100568,35.76,24,Low,Pass,No Pull
O100569,26.3,0,High,Rework,Full Pull
O100570,30.2,15,Medium,Pass,Partial Pull
O100571,28.89,5,High,Pass,Full Pull
O100572,26.77,21,Medium,Pass,Partial Pull
O100573,37.36,3,High,Pass,Full Pull
O100574,26.15,8,Medium,Pass,Partial Pull
O100575,44.53,16,Medium,Pass,Partial Pull
O100576,34.27,11,Medium,Pass,Partial Pull
O100577,18.75,6,Medium,Pass,Partial Pull
O100578,29.24,1,High,Pass,Full Pull
O100579,15.8,0,High,Pass,Full Pull
O100580,39.43,5,High,Rework,Full Pull
O100581,27.98,8,Medium,Pass,Partial Pull
O100582,20.64,3,Medium,Pass,Partial Pull
O100583,42.5,15,Medium,Pass,Partial Pull
O100584,35.41,27,Low,Pass,No Pull
O100585,47.47,22,Low,Pass,No Pull
