order_id,workstation_id,product_type,batch_size,wip_level,machine_utilization_pct,operator_skill,setup_condition,machine_condition,setup_time_min,processing_time_min,queue_delay_min,breakdown_event,breakdown_delay_min,cycle_time_min
O100142,WS1,Custom,67,16,80.1,3,Poor,Healthy,10.13,17.51,21.42,0,0.0,49.79
O100143,WS5,Standard,39,0,65.0,5,Normal,Healthy,6.34,11.6,0.0,0,0.0,20.42
O100144,WS6,Custom,45,29,65.7,4,Normal,Healthy,7.62,15.14,23.88,0,0.0,46.98
O100145,WS4,Custom,22,4,82.5,2,Good,Degraded,2.29,10.43,2.43,0,0.0,18.46
O100146,WS4,Standard,60,5,60.0,3,Good,Healthy,3.62,16.2,3.14,0,0.0,24.08
O100147,WS1,Standard,58,3,82.7,2,Normal,Healthy,8.55,11.75,2.33,0,0.0,22.81
O100148,WS3,Standard,60,6,96.1,4,Good,Healthy,3.82,15.18,9.04,0,0.0,29.68
O100149,WS2,Custom,41,15,88.0,1,Good,Degraded,3.44,12.75,17.63,0,0.0,35.78
O100150,WS4,Premium,78,19,72.5,5,Normal,Healthy,6.28,24.01,17.11,0,0.0,46.04
O100151,WS6,Custom,65,27,83.3,5,Poor,Degraded,13.21,30.2,34.88,0,0.0,78.03
O100152,WS1,Standard,26,27,65.0,2,Good,Healthy,4.31,5.79,29.92,0,0.0,38.3
O100153,WS3,Standard,43,2,81.6,2,Normal,Healthy,4.81,10.06,2.61,0,0.0,14.61
O100154,WS5,Premium,70,13,76.1,3,Good,Healthy,0.88,24.31,11.29,0,0.0,36.26
O100155,WS3,Custom,20,26,67.5,4,Normal,Healthy,7.05,6.1,32.2,0,0.0,46.14
O100156,WS4,Standard,42,5,87.5,4,Good,Healthy,4.6,13.5,7.64,0,0.0,25.23
O100157,WS3,Custom,89,20,56.3,1,Normal,Degraded,6.17,24.28,26.76,0,0.0,57.73
O100158,WS4,Standard,50,13,65.8,4,Normal,Healthy,5.87,13.5,10.78,0,0.0,29.59
O100159,WS1,Premium,56,5,67.2,1,Normal,Degraded,8.81,14.72,7.05,0,0.0,29.05
O100160,WS4,Standard,72,1,73.9,2,Good,Healthy,4.13,16.99,0.8,0,0.0,22.54
O100161,WS3,Standard,39,8,95.6,4,Poor,Healthy,14.76,12.84,7.4,0,0.0,33.16
O100162,WS2,Standard,85,0,89.1,5,Good,Healthy,4.87,15.85,0.0,0,0.0,20.53
O100163,WS4,Standard,11,6,81.3,4,Good,Healthy,4.35,3.83,9.33,0,0.0,15.86
O100164,WS3,Custom,53,17,80.7,1,Normal,Healthy,9.08,14.38,14.62,0,0.0,36.99
O100165,WS4,Custom,64,24,79.9,4,Good,Critical,4.39,23.86,29.67,1,6.76,63.31
O100166,WS4,Custom,31,15,96.5,1,Normal,Degraded,7.73,12.34,18.88,0,0.0,41.78
O100167,WS3,Standard,81,22,58.2,2,Normal,Degraded,4.93,20.76,13.21,0,0.0,39.12
O100168,WS5,Custom,17,2,89.3,1,Good,Degraded,3.58,7.54,1.88,1,13.67,25.37
O100169,WS3,Custom,69,9,73.9,5,Poor,Healthy,7.97,20.55,8.3,0,0.0,35.87
O100170,WS3,Custom,67,20,86.0,2,Good,Healthy,3.09,19.07,22.41,0,0.0,45.97
O100171,WS3,Custom,81,1,86.1,3,Normal,Healthy,6.47,22.08,0.73,0,0.0,29.57
O100172,WS3,Standard,28,18,88.8,4,Good,Degraded,3.54,8.72,12.88,0,0.0,26.34
O100173,WS5,Premium,24,5,99.0,5,Poor,Healthy,12.58,11.92,3.64,0,0.0,29.03
O100174,WS5,Standard,62,13,63.5,5,Good,Healthy,4.41,15.54,11.83,0,0.0,33.55
O100175,WS1,Custom,98,19,92.1,1,Good,Degraded,4.19,22.59,15.04,0,0.0,39.02
O100176,WS3,Standard,81,30,79.2,2,Good,Healthy,4.89,18.88,21.79,0,0.0,45.49
O100177,WS1,Standard,29,2,74.5,3,Poor,Degraded,4.98,9.73,2.32,0,0.0,14.27
O100178,WS5,Standard,47,17,99.0,4,Poor,Healthy,9.36,16.62,14.41,0,0.0,43.69
O100179,WS6,Premium,34,16,88.4,2,Normal,Degraded,7.19,20.53,10.54,0,0.0,37.87
O100180,WS4,Standard,80,1,75.0,2,Poor,Degraded,8.32,28.95,1.36,0,0.0,40.89
O100181,WS3,Standard,56,19,91.5,4,Poor,Healthy,10.75,16.11,12.96,0,0.0,41.02
O100182,WS1,Premium,49,2,79.4,3,Normal,Healthy,8.55,10.91,2.93,0,0.0,21.23
O100183,WS2,Standard,10,21,74.8,4,Good,Healthy,3.25,3.5,18.18,0,0.0,27.38
O100184,WS4,Custom,67,6,72.7,2,Normal,Healthy,4.76,20.26,9.57,0,0.0,34.25
O100185,WS6,Premium,50,3,83.7,3,Normal,Healthy,2.51,20.34,3.14,0,0.0,28.05
O100186,WS3,Custom,13,2,72.6,1,Good,Healthy,2.86,5.11,2.44,0,0.0,9.15
O100187,WS6,Standard,27,14,81.9,1,Good,Healthy,4.4,11.76,12.79,0,0.0,29.78
O100188,WS3,Premium,76,7,90.6,1,Normal,Healthy,5.83,24.51,4.49,0,0.0,34.62
O100189,WS1,Custom,78,14,81.3,1,Good,Healthy,2.65,15.71,19.95,0,0.0,38.7
O100190,WS4,Standard,54,27,99.0,2,Poor,Critical,14.21,25.0,24.53,0,0.0,62.34
O100191,WS2,Custom,78,25,80.2,1,Good,Healthy,5.49,18.13,29.21,0,0.0,50.06
O100192,WS2,Standard,77,23,96.2,1,Good,Healthy,5.2,15.32,31.68,0,0.0,49.8
O100193,WS1,Standard,66,14,91.7,5,Normal,Healthy,6.47,11.85,9.74,0,0.0,30.47
O100194,WS4,Custom,28,3,98.3,5,Good,Healthy,3.51,7.96,2.22,0,0.0,11.74
O100195,WS2,Custom,48,12,99.0,2,Good,Degraded,4.86,15.51,11.54,0,0.0,31.13
O100196,WS6,Standard,84,0,58.9,5,Normal,Healthy,6.82,22.27,0.0,0,0.0,28.4
O100197,WS5,Custom,38,3,83.2,1,Poor,Degraded,7.43,22.27,4.61,0,0.0,36.0
O100198,WS5,Premium,70,9,78.7,1,Good,Healthy,4.39,22.7,8.57,0,0.0,38.4
O100199,WS3,Standard,85,21,81.3,2,Good,Degraded,3.1,19.74,29.38,0,0.0,54.84
O100200,WS1,Standard,58,24,75.2,2,Normal,Degraded,6.72,13.58,21.01,0,0.0,38.79
O100201,WS4,Standard,56,19,73.5,1,Poor,Degraded,5.71,20.75,21.59,0,0.0,45.49
O100202,WS1,Premium,27,7,66.8,5,Normal,Healthy,8.88,8.46,6.73,0,0.0,22.29
O100203,WS3,Standard,55,22,81.2,5,Good,Healthy,2.55,11.7,32.59,0,0.0,48.17
O100204,WS1,Standard,13,30,91.2,2,Good,Degraded,4.84,5.84,30.51,0,0.0,42.06
O100205,WS4,Premium,20,20,74.1,2,Good,Healthy,4.39,7.61,23.29,0,0.0,37.48
O100206,WS4,Custom,59,23,76.1,4,Good,Healthy,4.24,16.36,33.59,0,0.0,52.06
O100207,WS4,Standard,29,27,71.6,5,Normal,Healthy,7.77,8.31,40.73,0,0.0,55.35
O100208,WS5,Premium,41,22,68.1,2,Good,Healthy,3.49,17.86,27.43,0,0.0,49.4
O100209,WS2,Standard,42,27,77.2,4,Normal,Healthy,4.6,8.76,26.65,0,0.0,38.7
O100210,WS2,Standard,53,9,84.1,1,Normal,Healthy,7.03,9.97,13.97,0,0.0,32.83
O100211,WS3,Standard,73,9,95.1,3,Normal,Healthy,7.53,19.24,13.5,0,0.0,37.53
O100212,WS5,Custom,50,5,65.7,5,Good,Healthy,5.21,13.46,4.72,0,0.0,27.12
O100213,WS1,Standard,86,5,79.6,3,Normal,Healthy,6.59,16.26,5.76,1,15.69,44.01
O100214,WS6,Custom,53,17,94.1,4,Normal,Degraded,7.99,24.69,15.09,0,0.0,44.65
O100215,WS2,Standard,100,28,65.9,4,Normal,Healthy,7.72,17.95,26.89,0,0.0,56.26
O100216,WS1,Standard,100,6,95.2,4,Good,Degraded,3.79,19.12,7.35,0,0.0,28.15
O100217,WS4,Premium,48,22,74.7,4,Good,Healthy,3.83,14.95,22.81,0,0.0,43.03
O100218,WS2,Custom,79,2,88.5,5,Poor,Healthy,9.05,20.0,1.72,0,0.0,29.93
O100219,WS3,Standard,51,30,77.4,1,Good,Degraded,4.71,15.15,33.91,0,0.0,51.23
O100220,WS1,Standard,89,16,85.5,5,Good,Degraded,4.35,16.16,13.88,0,0.0,33.57
O100221,WS3,Standard,79,15,99.0,5,Normal,Degraded,6.93,24.03,19.34,0,0.0,52.4
O100222,WS2,Standard,40,11,78.5,5,Normal,Degraded,8.13,12.58,15.17,0,0.0,36.69
O100223,WS1,Premium,39,29,92.0,2,Poor,Degraded,9.98,12.88,31.55,0,0.0,51.7
O100224,WS3,Standard,90,13,83.3,3,Good,Degraded,5.2,22.58,13.03,0,0.0,41.78
O100225,WS5,Standard,59,3,70.6,2,Poor,Degraded,11.89,24.09,3.82,0,0.0,39.19
O100226,WS5,Custom,73,17,78.3,5,Good,Degraded,3.09,22.26,16.88,0,0.0,43.92
O100227,WS3,Premium,71,18,77.5,3,Normal,Healthy,8.73,16.11,28.67,0,0.0,50.39
O100228,WS6,Standard,25,23,63.1,2,Normal,Healthy,8.82,10.26,32.84,0,0.0,48.34
O100229,WS1,Standard,31,15,85.5,4,Good,Healthy,3.68,6.49,16.68,0,0.0,23.86
O100230,WS6,Custom,91,8,87.9,1,Good,Healthy,2.43,33.33,8.73,0,0.0,46.36
O100231,WS6,Premium,35,0,89.7,2,Good,Degraded,3.44,19.9,0.0,0,0.0,23.78
O100232,WS4,Custom,89,30,97.2,2,Poor,Healthy,9.4,31.88,33.34,0,0.0,79.05
O100233,WS1,Standard,42,5,91.4,2,Normal,Healthy,5.66,10.98,3.49,0,0.0,18.94
O100234,WS6,Standard,87,10,72.8,3,Poor,Degraded,15.16,37.45,10.05,0,0.0,61.01
O100235,WS3,Premium,62,4,75.3,1,Normal,Healthy,2.88,19.6,3.42,0,0.0,22.74
O100236,WS1,Custom,19,7,90.1,5,Normal,Degraded,6.76,7.95,7.07,0,0.0,23.78
O100237,WS6,Custom,34,1,84.7,3,Normal,Healthy,5.21,13.77,0.9,0,0.0,20.63
O100238,WS3,Premium,96,10,79.8,2,Good,Healthy,3.68,23.38,15.14,0,0.0,42.99
O100239,WS3,Premium,28,29,69.5,1,Good,Healthy,4.76,8.66,21.65,0,0.0,35.62
O100240,WS4,Standard,30,6,73.6,5,Normal,Healthy,7.03,8.59,8.76,0,0.0,27.31
O100241,WS6,Standard,23,29,87.0,5,Normal,Healthy,7.83,9.79,32.58,0,0.0,48.57
O100242,WS3,Standard,65,19,56.6,3,Good,Healthy,3.52,15.68,25.36,0,0.0,46.94
O100243,WS6,Premium,83,27,51.9,2,Normal,Healthy,8.67,29.83,39.21,1,14.35,92.89
O100244,WS1,Standard,95,19,88.3,3,Normal,Healthy,7.18,19.31,17.3,0,0.0,42.81
O100245,WS4,Custom,90,30,73.6,5,Poor,Degraded,9.65,30.23,22.84,0,0.0,62.33
O100246,WS4,Standard,90,17,85.6,2,Normal,Healthy,6.11,24.2,25.51,0,0.0,54.57
O100247,WS2,Standard,92,25,98.9,4,Good,Healthy,4.04,18.92,21.04,0,0.0,45.27
O100248,WS2,Standard,61,1,67.8,5,Good,Healthy,5.08,12.02,0.84,0,0.0,20.39
O100249,WS1,Premium,84,28,60.0,4,Good,Critical,6.11,20.9,29.67,0,0.0,58.38
O100250,WS2,Standard,67,0,76.7,5,Normal,Degraded,8.61,18.87,0.0,0,0.0,29.89
O100251,WS4,Custom,22,6,71.8,5,Poor,Critical,9.38,13.07,5.64,0,0.0,27.98
O100252,WS2,Standard,12,22,79.7,1,Normal,Degraded,6.5,4.15,25.0,1,18.22,52.35
O100253,WS5,Standard,18,7,86.5,2,Good,Healthy,5.75,6.71,10.21,0,0.0,22.89
O100254,WS6,Standard,41,1,83.9,1,Good,Degraded,4.01,19.42,0.67,0,0.0,22.01
O100255,WS5,Standard,55,26,80.6,3,Normal,Healthy,6.02,18.91,39.33,0,0.0,64.6
O100256,WS5,Custom,68,15,92.7,3,Normal,Degraded,3.3,28.79,16.13,0,0.0,49.05
O100257,WS4,Standard,57,14,88.0,1,Good,Healthy,2.72,17.17,19.95,0,0.0,40.67
O100258,WS6,Standard,43,9,77.8,3,Good,Healthy,5.69,13.88,13.26,0,0.0,30.06
O100259,WS5,Standard,76,22,87.6,1,Normal,Degraded,9.5,30.86,24.64,0,0.0,65.08
O100260,WS2,Premium,88,9,61.5,3,Good,Degraded,5.0,22.6,13.29,0,0.0,38.49
O100261,WS5,Standard,30,17,92.8,2,Normal,Critical,6.98,16.42,12.83,0,0.0,34.77
O100262,WS4,Custom,33,4,80.3,5,Good,Healthy,4.48,10.57,5.91,0,0.0,21.36
